"Año","Tipo de elección","Cod_depto","Departamento","Cod_municipio","Municipio","Zona","Cod_puesto","Puesto de votación","Sexo","","","Potencial electoral","Rangos Etareos","","","","","","","","","","",""
"","","","","","","","","","Hombres","Mujeres","Otros","","18-20","21-25","26-30","31-35","36-40","41-45","46-50","51-55","56-60","mas de 60","sin fecha de nacimiento","extranjero"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","46","ANGLO AMERICANO","249","302","0","551","75","43","50","67","84","61","41","37","29","64","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","47","PUREZA DE MARÍA","331","375","0","706","155","39","66","82","76","52","57","46","43","88","0","2"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","01","CHICO NORTE","20.073","5.494","0","25.567","1561","2121","3357","3155","4244","3451","1909","1135","1141","3493","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","02","CHICO RESERVADO","3.746","12.818","0","16.564","747","1395","1483","1282","2978","1771","1178","1181","1116","3432","1","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","03","CHICO LICEO FRANCES LOUIS PAST","7.020","8.103","0","15.123","1002","1383","1008","1180","1219","1329","1233","1238","1409","4108","0","14"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","04","ANTIGUO COUNTRY PLAZOLETA CARU","6.084","6.745","0","12.829","179","649","884","1248","1302","1280","1069","1187","1304","3727","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","05","UNIVERSIDAD EAN","4.279","5.116","0","9.395","298","781","890","838","776","821","706","766","805","2708","0","6"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","06","UNIVERSIDAD SERGIO ARBOLEDA","3.011","2.749","0","5.760","282","629","817","816","575","452","393","385","420","972","0","19"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","07","UNIVERSIDAD PEDAGOGICA NACIONA","3.572","4.127","0","7.699","396","572","513","678","613","644","661","772","751","2091","0","8"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","08","GRANADA COLEGIO SIMON RODRIGUEZ SD B","2.101","2.362","0","4.463","29","1206","1004","435","329","296","225","204","198","537","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","09","SENA CALLE 65","4.634","4.110","0","8.744","48","886","527","911","808","768","823","946","888","2139","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","10","UNIVERSIDAD KONRAD LORENZ","4.148","6.994","0","11.142","263","561","570","665","1138","961","787","924","1221","4052","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","11","SENA CALLE 52","5.524","5.490","0","11.014","691","1258","1668","1736","1259","935","671","662","619","1515","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","12","UNIVERSIDAD PILOTO","2.677","4.420","0","7.097","36","594","287","375","553","552","596","674","829","2601","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","13","COLEGIO CAMPESTRE MONTEVERDE S","2.540","3.038","0","5.578","350","839","883","614","551","432","394","365","345","804","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","14","COLEGIO SIMON RODRIGUEZ SEDE A","4.571","2.505","0","7.076","227","400","872","1430","1057","966","825","672","334","289","0","4"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","15","UNIVERSIDAD DISTRITAL","5.300","3.981","0","9.281","608","1043","1979","1724","1156","967","604","581","300","317","0","2"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","16","CENTRO COMERCIAL DE LA 93","1.855","2.197","0","4.052","249","376","552","600","514","360","274","259","259","597","0","12"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","17","MUSEO DEL CHICO","728","936","0","1.664","117","178","204","218","212","172","138","115","104","206","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","18","COLEGIO SAN MARTIN DE PORRES","326","436","0","762","148","128","69","73","76","69","66","37","41","55","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","19","MARISCAL SUCRE SEDE B","305","360","0","665","150","152","76","59","46","47","23","43","23","46","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","20","BETHLEMITAS-CALLE 65","470","460","0","930","96","99","135","128","121","88","56","48","61","90","0","8"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","21","U. SANTO TOMAS CLAUSTRO","470","435","0","905","91","134","164","156","109","50","56","32","49","62","0","2"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","22","EL AQUINATE U. SANTO TOMAS","246","210","0","456","31","45","79","73","55","29","35","28","32","47","0","2"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","23","COLEGIO NUEVO GIMNASIO","182","205","0","387","114","31","53","37","40","28","19","15","17","32","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","24","UNIVERSIDAD CATOLICA","397","428","0","825","101","125","172","113","85","52","42","44","40","50","0","1"
